risk_id,loan_id,customer_id,risk_grade,pd,lgd,ead,ecl,risk_weight,rwa,provision_amount,assessment_date_id,basel_category
RISK00490,LOAN00490,CUST0649,BBB,0.3811,0.6959,22471.1,5959.5,0.9393,28335.05,5945.13,20250217,Corporate
RISK00491,LOAN00491,CUST0169,AAA,0.01,0.4282,314204.05,1345.42,0.4068,459613.29,1247.3,20241003,SME
RISK00492,LOAN00492,CUST0198,CC,0.7176,0.4626,231334.3,76794.14,0.6879,287759.81,81723.21,20250216,Corporate
RISK00493,LOAN00493,CUST0651,AAA,0.01,0.6567,215241.48,1413.49,1.1832,230769.15,1446.39,20240519,Sovereign
RISK00494,LOAN00494,CUST0657,AAA,0.0605,0.6677,29890.25,1207.44,0.7345,9966.03,1203.18,20250206,Corporate
RISK00495,LOAN00495,CUST0482,CC,0.7272,0.5644,135957.96,55801.45,1.458,27782.6,59208.19,20240404,SME
RISK00496,LOAN00496,CUST0481,AAA,0.0271,0.4156,58875.87,663.1,1.19,59282.87,631.09,20241003,Sovereign
RISK00497,LOAN00497,CUST0321,AAA,0.0264,0.4695,70646.43,875.65,0.7958,68111.95,881.68,20241114,Sovereign
RISK00498,LOAN00498,CUST0787,AAA,0.0321,0.6192,255492.08,5078.24,0.3384,291861.3,4978.62,20250115,Sovereign
RISK00499,LOAN00499,CUST0178,AAA,0.081,0.45,50574.88,1843.45,0.944,28975.99,1847.26,20250312,SME
RISK00500,LOAN00500,CUST0735,AAA,0.0551,0.4572,32401.9,816.26,1.0446,30106.76,863.78,20240120,Retail
RISK00501,LOAN00501,CUST0832,AAA,0.0982,0.5512,264858.08,14336.2,0.9154,165290.3,13052.1,20250123,SME
RISK00502,LOAN00502,CUST0111,BBB,0.3388,0.6389,126592.21,27402.06,0.2767,58441.39,28281.73,20241229,Sovereign
RISK00503,LOAN00503,CUST0562,B,0.5567,0.3039,86535.62,14640.19,1.0863,65412.51,15918.06,20241015,Retail
RISK00504,LOAN00504,CUST0640,AAA,0.0841,0.3607,41617.34,1262.46,0.8924,46342.35,1279.98,20241122,Retail
RISK00505,LOAN00505,CUST0325,A,0.2645,0.4079,75971.09,8196.49,0.5887,89698.4,7977.58,20240521,Corporate
RISK00506,LOAN00506,CUST0098,CCC,0.6946,0.3013,92834.71,19428.72,0.9298,64256.35,17620.4,20241128,Sovereign
RISK00507,LOAN00507,CUST0446,AAA,0.0443,0.5957,247459.39,6530.33,0.2595,94338.48,6462.08,20250302,Sovereign
RISK00508,LOAN00508,CUST0630,BBB,0.3857,0.4288,100423.78,16608.9,0.7956,115964.39,18049.23,20250523,Sovereign
RISK00509,LOAN00509,CUST0631,B,0.5683,0.3674,0.0,0.0,0.7921,0.0,0.0,20240504,SME
RISK00510,LOAN00510,CUST0224,A,0.2136,0.3097,5186.18,343.08,0.9133,2088.38,362.97,20250116,Sovereign
RISK00511,LOAN00511,CUST0250,AAA,0.0424,0.4749,84237.06,1696.18,0.2525,90314.9,1532.63,20240607,Retail
RISK00512,LOAN00512,CUST0276,AAA,0.0846,0.6917,13575.45,794.41,0.7152,8651.19,765.05,20240522,Retail
RISK00513,LOAN00513,CUST0779,AAA,0.0149,0.3567,41270.86,219.35,0.4336,42960.14,202.38,20240128,SME
RISK00514,LOAN00514,CUST0892,A,0.2239,0.6132,118435.9,16260.71,0.4791,46881.2,15294.84,20250202,Corporate
RISK00515,LOAN00515,CUST0888,BBB,0.3529,0.585,173689.65,35857.62,0.9251,199865.26,36582.6,20250106,Corporate
RISK00516,LOAN00516,CUST0104,AA,0.1819,0.6729,7212.41,882.8,0.6909,4683.12,915.03,20250113,SME
RISK00517,LOAN00517,CUST0009,B,0.5394,0.3668,345693.04,68396.03,0.8784,116490.4,73025.49,20240225,Retail
RISK00518,LOAN00518,CUST0867,AAA,0.0713,0.3648,232693.14,6052.4,1.2233,79193.22,5506.68,20250429,Corporate
RISK00519,LOAN00519,CUST0044,AAA,0.0404,0.51,698.37,14.39,1.0752,991.74,15.74,20250306,SME
RISK00520,LOAN00520,CUST0966,AAA,0.0503,0.4999,119005.49,2992.39,0.5125,139716.2,3108.72,20250320,Retail
RISK00521,LOAN00521,CUST0212,AAA,0.0487,0.6001,145791.25,4260.73,0.7149,96835.57,4059.7,20250105,Retail
RISK00522,LOAN00522,CUST0794,AAA,0.0901,0.6615,29870.5,1780.32,0.8248,31233.64,1664.44,20250401,Corporate
RISK00523,LOAN00523,CUST0409,AAA,0.0897,0.6691,140768.97,8448.71,0.6604,163108.31,8408.34,20240905,Corporate
RISK00524,LOAN00524,CUST0055,AAA,0.0477,0.6736,386025.88,12403.29,1.0466,164456.53,13116.56,20250430,SME
RISK00525,LOAN00525,CUST0491,AAA,0.0562,0.324,64367.65,1172.06,0.5252,25478.7,1175.85,20240128,Retail
RISK00526,LOAN00526,CUST0646,AA,0.1952,0.3204,52141.38,3261.03,0.682,42187.86,2979.64,20240526,SME
RISK00527,LOAN00527,CUST0127,A,0.2233,0.3269,11792.75,860.83,1.0633,2959.14,781.17,20241004,Corporate
RISK00528,LOAN00528,CUST0956,CCC,0.676,0.4536,255870.15,78458.39,0.9357,207905.59,73594.72,20240215,Retail
RISK00529,LOAN00529,CUST0043,BB,0.4216,0.4708,104829.31,20807.49,0.9276,119453.77,21546.2,20250509,Sovereign
RISK00530,LOAN00530,CUST0939,AAA,0.0981,0.6699,3300.61,216.91,0.9505,4021.6,207.34,20241119,Sovereign
RISK00531,LOAN00531,CUST0082,AAA,0.0889,0.6258,88071.91,4899.76,0.5292,32800.39,4974.21,20240729,Corporate
RISK00532,LOAN00532,CUST0681,BB,0.4112,0.3981,26630.19,4359.33,0.2988,39004.1,4650.78,20250307,Sovereign
RISK00533,LOAN00533,CUST0445,AAA,0.0258,0.6296,158457.97,2573.94,1.3743,142326.85,2608.49,20250510,Corporate
RISK00534,LOAN00534,CUST0865,AAA,0.0419,0.4325,4688.34,84.96,0.2665,6273.11,84.67,20240902,Sovereign
RISK00535,LOAN00535,CUST0167,BBB,0.3487,0.4893,340888.74,58162.07,1.4191,505235.85,54793.16,20241127,Sovereign
RISK00536,LOAN00536,CUST0961,AAA,0.043,0.394,58167.13,985.47,0.8273,52134.16,1080.78,20240104,Retail
RISK00537,LOAN00537,CUST0824,AAA,0.015,0.4714,224229.72,1585.53,1.1232,217235.71,1508.39,20240812,Sovereign
RISK00538,LOAN00538,CUST0957,AAA,0.0827,0.4429,158443.7,5803.45,0.6491,195638.89,5403.97,20240228,SME
RISK00539,LOAN00539,CUST0042,A,0.2488,0.3769,47914.33,4493.06,0.6787,55483.98,4385.69,20241222,Retail
RISK00540,LOAN00540,CUST0401,AA,0.1805,0.4849,115705.11,10127.03,0.5784,57620.7,9717.65,20241003,SME
RISK00541,LOAN00541,CUST0162,AAA,0.0473,0.481,265107.5,6031.54,0.7209,303437.09,6469.48,20240423,Retail
RISK00542,LOAN00542,CUST0314,AAA,0.0241,0.3595,33472.53,290.0,1.4737,41778.87,266.17,20240604,Corporate
RISK00543,LOAN00543,CUST0082,AAA,0.0688,0.5317,56779.79,2077.06,0.2724,69059.95,2081.44,20240607,Retail
RISK00544,LOAN00544,CUST0446,AAA,0.0157,0.3766,79319.27,468.98,0.4755,105352.71,426.23,20250520,Corporate
RISK00545,LOAN00545,CUST0033,B,0.545,0.6263,120384.86,41091.39,1.3715,157282.77,39918.8,20241210,Corporate
RISK00546,LOAN00546,CUST0725,BB,0.4288,0.4663,296206.3,59226.28,0.4358,419763.79,57007.94,20241029,Corporate
RISK00547,LOAN00547,CUST0343,A,0.2085,0.6083,64436.44,8172.51,0.3538,87075.24,8935.15,20240523,Corporate
RISK00548,LOAN00548,CUST0729,D,0.95,0.3591,57488.32,19611.85,0.2486,84566.35,18026.59,20250127,SME
RISK00549,LOAN00549,CUST0879,A,0.2102,0.6799,69293.56,9903.09,0.3255,40813.39,10554.19,20241231,SME
RISK00550,LOAN00550,CUST0466,AAA,0.0965,0.3251,234456.44,7355.4,1.0102,70609.22,7986.2,20241023,Sovereign
RISK00551,LOAN00551,CUST0428,AAA,0.0852,0.6267,16982.66,906.79,0.7629,23153.9,940.86,20240421,SME
RISK00552,LOAN00552,CUST0594,AAA,0.043,0.6835,5420.19,159.3,1.3791,2750.7,151.89,20250417,Sovereign
RISK00553,LOAN00553,CUST0281,BBB,0.3973,0.4225,35018.64,5878.2,0.2238,11681.79,5544.46,20240611,Retail
RISK00554,LOAN00554,CUST0053,CC,0.7056,0.5903,225094.36,93755.33,1.1344,282651.57,91946.37,20241122,SME
RISK00555,LOAN00555,CUST0672,AAA,0.0258,0.563,18640.06,270.75,0.3662,22742.03,248.54,20240223,Retail
RISK00556,LOAN00556,CUST0426,AAA,0.0549,0.3274,0.0,0.0,0.8425,0.0,0.0,20240621,Retail
RISK00557,LOAN00557,CUST0895,CC,0.7632,0.3453,0.0,0.0,0.7969,0.0,0.0,20250504,Corporate
RISK00558,LOAN00558,CUST0125,BBB,0.369,0.3368,63741.6,7921.76,1.4973,51631.86,7432.91,20240808,SME
RISK00559,LOAN00559,CUST0826,BBB,0.342,0.3254,123672.16,13763.08,0.7459,97276.43,14696.31,20241108,Sovereign
RISK00560,LOAN00560,CUST0165,AAA,0.0793,0.473,18707.24,701.69,0.2373,27697.72,734.28,20240923,SME
RISK00561,LOAN00561,CUST0795,A,0.2501,0.6735,87792.29,14787.94,0.44,103257.26,14462.02,20240824,Corporate
RISK00562,LOAN00562,CUST0571,AAA,0.01,0.5658,259906.48,1470.55,0.8507,140614.49,1538.28,20250312,Sovereign
RISK00563,LOAN00563,CUST0347,AAA,0.0766,0.5372,386792.56,15916.33,0.2642,572362.35,16589.18,20250414,Retail
RISK00564,LOAN00564,CUST0567,AAA,0.0293,0.6435,2060.47,38.85,0.9097,1058.48,40.06,20240711,Retail
RISK00565,LOAN00565,CUST0308,AAA,0.0531,0.33,263945.86,4625.12,1.1288,261104.86,4789.92,20240302,Sovereign
RISK00566,LOAN00566,CUST0308,AAA,0.06,0.34,35330.31,720.74,0.9292,38869.13,724.58,20241219,SME
RISK00567,LOAN00567,CUST0999,BBB,0.3565,0.4106,18772.91,2747.96,0.9281,18919.8,2536.21,20240729,SME
RISK00568,LOAN00568,CUST0564,AAA,0.0658,0.3402,99704.44,2231.9,0.5893,111515.99,2296.17,20240531,Corporate
RISK00569,LOAN00569,CUST0954,AAA,0.0588,0.3427,9482.29,191.08,0.8755,7566.17,185.04,20240817,Corporate
RISK00570,LOAN00570,CUST0481,BBB,0.3415,0.3674,0.0,0.0,0.9955,0.0,0.0,20250310,Retail
RISK00571,LOAN00571,CUST0583,D,0.95,0.5039,173480.74,83046.1,0.2867,253824.28,89664.75,20241213,Sovereign
RISK00572,LOAN00572,CUST0006,AAA,0.0211,0.5668,29757.47,355.88,1.0766,39415.09,357.74,20250325,Sovereign
RISK00573,LOAN00573,CUST0541,A,0.2556,0.5828,91372.23,13611.14,1.174,86151.27,14558.41,20240401,SME
RISK00574,LOAN00574,CUST0620,AAA,0.058,0.6869,130811.83,5211.57,0.764,177369.68,5247.94,20250208,Corporate
RISK00575,LOAN00575,CUST0729,D,0.95,0.345,35394.29,11600.48,1.4695,52319.51,11513.64,20241004,Retail
RISK00576,LOAN00576,CUST0216,A,0.2452,0.6475,76128.81,12086.74,1.3287,51715.0,13037.8,20240717,SME
RISK00577,LOAN00577,CUST0421,AAA,0.0188,0.5663,263390.24,2804.17,1.4033,147008.11,2640.34,20240510,SME
RISK00578,LOAN00578,CUST0249,AAA,0.01,0.4835,112041.94,541.72,0.6206,67667.71,515.72,20240508,Sovereign
RISK00579,LOAN00579,CUST0424,BBB,0.3399,0.4818,133824.53,21915.62,0.2083,55947.97,23942.02,20250217,Retail
RISK00580,LOAN00580,CUST0230,AAA,0.01,0.3938,263430.85,1037.39,0.3859,83620.63,1081.74,20241120,SME
RISK00581,LOAN00581,CUST0225,AAA,0.0516,0.4241,4393.96,96.16,0.4845,2055.06,98.75,20240616,SME
RISK00582,LOAN00582,CUST0065,A,0.2223,0.5454,298062.23,36137.79,0.7697,269287.47,37889.24,20241221,Retail
RISK00583,LOAN00583,CUST0543,A,0.2221,0.5272,427309.14,50034.11,1.2673,418975.32,51637.58,20240514,SME
RISK00584,LOAN00584,CUST0199,AAA,0.067,0.6843,93661.39,4294.2,1.3692,127777.74,3916.43,20240106,Retail
RISK00585,LOAN00585,CUST0366,AAA,0.0241,0.4334,145078.14,1515.33,1.3801,35954.3,1573.08,20240422,Retail
RISK00586,LOAN00586,CUST0981,AAA,0.0535,0.5954,36212.36,1153.5,1.2017,28543.88,1246.65,20240627,Sovereign
RISK00587,LOAN00587,CUST1000,AAA,0.0409,0.6965,35671.68,1016.17,1.048,9357.19,1080.76,20240401,Retail
RISK00588,LOAN00588,CUST0912,AAA,0.0746,0.6753,131323.55,6615.74,0.4905,49959.42,6015.68,20240525,SME
RISK00589,LOAN00589,CUST0488,AAA,0.0796,0.655,326706.32,17033.81,1.25,374963.9,17894.74,20240917,Sovereign
RISK00590,LOAN00590,CUST0516,BBB,0.389,0.3657,71308.81,10144.2,1.4352,29231.83,9489.46,20250131,SME
RISK00591,LOAN00591,CUST0643,AA,0.1863,0.3836,73875.63,5279.5,0.2458,51814.66,5721.84,20250202,Corporate
RISK00592,LOAN00592,CUST0472,A,0.2033,0.6026,93236.87,11422.32,1.0185,80554.75,12261.66,20240918,SME
RISK00593,LOAN00593,CUST0855,AAA,0.0684,0.6572,177736.51,7989.7,1.1342,108141.44,7675.01,20250427,Retail
RISK00594,LOAN00594,CUST0783,AAA,0.0714,0.6535,54858.86,2559.71,0.7407,13468.14,2556.76,20240225,SME
RISK00595,LOAN00595,CUST0923,AAA,0.0425,0.5444,39301.57,909.32,0.604,30444.52,989.49,20250513,Retail
RISK00596,LOAN00596,CUST0286,AAA,0.0465,0.3364,94908.69,1484.62,0.3421,79531.38,1462.76,20240324,SME
RISK00597,LOAN00597,CUST0816,AAA,0.0712,0.6267,295039.81,13164.98,1.4439,256120.42,12462.71,20241009,SME
RISK00598,LOAN00598,CUST0185,A,0.2551,0.3966,347762.38,35184.05,1.0742,367847.45,33295.14,20240911,Retail
RISK00599,LOAN00599,CUST0348,AAA,0.0838,0.3559,108406.61,3233.16,0.6816,51386.8,3145.45,20241127,Corporate
RISK00600,LOAN00600,CUST0716,BBB,0.3794,0.5725,15051.69,3269.32,1.187,5905.82,3304.65,20240403,Corporate
RISK00601,LOAN00601,CUST0346,BBB,0.3364,0.429,27822.93,4015.28,1.0877,38382.76,4269.38,20241115,Corporate
RISK00602,LOAN00602,CUST0828,B,0.5648,0.3229,276902.74,50499.84,0.9725,340968.54,45976.38,20240108,Retail
RISK00603,LOAN00603,CUST0992,AAA,0.0292,0.3637,385891.68,4098.19,1.4282,142711.29,3908.86,20240225,Retail
RISK00604,LOAN00604,CUST0152,AAA,0.0763,0.5006,69398.88,2650.74,1.2579,58588.01,2839.74,20240923,SME
RISK00605,LOAN00605,CUST0322,AAA,0.0246,0.4381,240643.69,2593.48,0.7111,204142.0,2661.44,20250109,Corporate
RISK00606,LOAN00606,CUST0371,AAA,0.0228,0.4287,61086.74,597.08,1.1937,55876.74,627.85,20240214,Corporate
RISK00607,LOAN00607,CUST0375,AAA,0.0407,0.3962,346822.14,5592.62,1.4909,251300.98,6075.1,20240328,SME
RISK00608,LOAN00608,CUST0629,D,0.95,0.5103,19903.27,9648.81,0.5419,10123.2,9030.83,20240322,Sovereign
RISK00609,LOAN00609,CUST0063,AAA,0.0529,0.302,301951.27,4823.91,0.9912,259981.12,4382.14,20241013,Retail
RISK00610,LOAN00610,CUST0265,AA,0.1854,0.5591,59011.1,6116.92,0.9745,61622.1,5587.21,20240104,Retail
RISK00611,LOAN00611,CUST0249,AAA,0.0669,0.5922,8388.61,332.34,0.3517,11820.53,339.33,20250421,Sovereign
RISK00612,LOAN00612,CUST0163,AAA,0.031,0.6113,84890.8,1608.71,0.2112,66694.23,1688.78,20240817,SME
RISK00613,LOAN00613,CUST0895,CC,0.704,0.4162,77189.6,22616.92,1.4724,78435.32,22648.04,20240525,Retail
RISK00614,LOAN00614,CUST0192,AAA,0.0911,0.3093,100553.65,2833.32,1.266,141410.14,2932.52,20240809,Retail
RISK00615,LOAN00615,CUST0387,CCC,0.6689,0.3903,53570.36,13985.7,0.5688,36203.92,13574.67,20241113,Corporate
RISK00616,LOAN00616,CUST0248,D,0.95,0.6327,166835.0,100278.68,0.2213,94036.87,98704.9,20240607,SME
RISK00617,LOAN00617,CUST0705,AAA,0.097,0.6296,30831.05,1882.89,0.9548,20987.89,1960.12,20240618,Corporate
RISK00618,LOAN00618,CUST0539,BBB,0.3423,0.5845,286331.94,57287.68,1.437,163801.24,53124.4,20240223,Retail
RISK00619,LOAN00619,CUST0478,A,0.2159,0.3539,65900.42,5035.25,0.5765,70004.95,4882.09,20241025,Corporate
RISK00620,LOAN00620,CUST0232,AAA,0.0327,0.4557,0.0,0.0,0.4289,0.0,0.0,20250504,Retail
RISK00621,LOAN00621,CUST0513,AAA,0.0997,0.3118,305323.37,9491.42,0.8235,114508.05,9064.87,20240421,SME
RISK00622,LOAN00622,CUST0798,A,0.2001,0.5547,970.02,107.67,1.1882,1320.67,100.95,20250420,SME
RISK00623,LOAN00623,CUST0747,B,0.568,0.4567,26084.54,6766.48,0.617,26392.28,6123.84,20240109,Sovereign
RISK00624,LOAN00624,CUST0355,A,0.2242,0.3435,136479.21,10510.63,0.9949,131664.74,10484.4,20241119,Corporate
RISK00625,LOAN00625,CUST0237,AAA,0.0723,0.6766,135637.69,6635.15,1.432,113235.23,6193.59,20240608,SME
RISK00626,LOAN00626,CUST0518,AAA,0.0746,0.5923,90181.77,3984.73,0.9346,77129.89,3919.11,20240121,Retail
RISK00627,LOAN00627,CUST0549,AAA,0.0429,0.6865,0.0,0.0,1.1814,0.0,0.0,20250322,Retail
RISK00628,LOAN00628,CUST0532,B,0.5055,0.654,202399.19,66912.57,0.3478,248443.18,64161.44,20240520,Corporate
RISK00629,LOAN00629,CUST0408,AA,0.1767,0.3702,161524.26,10566.0,1.3031,127374.77,9677.1,20241024,Retail
RISK00630,LOAN00630,CUST0920,AAA,0.0485,0.6052,312477.88,9171.91,0.639,429563.22,8375.55,20240215,SME
RISK00631,LOAN00631,CUST0147,AAA,0.0794,0.6941,346241.09,19081.88,1.2154,118938.95,18856.52,20241202,Sovereign
RISK00632,LOAN00632,CUST0351,AAA,0.0374,0.5895,94033.57,2073.19,1.4211,81775.68,2022.37,20240605,Corporate
RISK00633,LOAN00633,CUST0684,AAA,0.0289,0.5296,177625.74,2718.64,1.2673,227428.45,2797.15,20250527,Sovereign
RISK00634,LOAN00634,CUST0732,A,0.2293,0.6067,58018.74,8071.35,0.6923,23604.42,8253.09,20240328,Retail
RISK00635,LOAN00635,CUST0385,A,0.2648,0.4825,64497.13,8240.54,1.3383,88304.56,7812.81,20240617,Corporate
RISK00636,LOAN00636,CUST0303,AAA,0.01,0.5002,36977.65,184.96,0.7043,44429.51,180.28,20250325,Sovereign
RISK00637,LOAN00637,CUST0634,AAA,0.0404,0.5239,37137.87,786.04,0.4763,49737.43,717.0,20240803,Retail
RISK00638,LOAN00638,CUST0418,AAA,0.0892,0.5568,234172.84,11630.56,1.0766,283048.48,11379.62,20250401,Retail
RISK00639,LOAN00639,CUST0222,CC,0.7317,0.6594,31139.35,15024.21,1.3551,16294.25,15679.49,20240517,Corporate
RISK00640,LOAN00640,CUST0674,D,0.95,0.3471,412350.98,135970.67,0.3283,246391.43,147670.36,20250215,SME
RISK00641,LOAN00641,CUST0712,AAA,0.0545,0.3586,16832.87,328.98,1.3697,15930.37,350.02,20250520,Retail
RISK00642,LOAN00642,CUST0096,AAA,0.0809,0.3393,170516.47,4680.57,0.6184,209439.78,4413.88,20240226,Sovereign
RISK00643,LOAN00643,CUST0904,BBB,0.3585,0.3768,226909.75,30651.6,1.2304,258662.23,32955.49,20250304,Retail
RISK00644,LOAN00644,CUST0555,B,0.5855,0.633,98768.37,36605.68,0.346,99288.25,35489.52,20250429,Corporate
RISK00645,LOAN00645,CUST0771,B,0.5063,0.3221,76213.35,12428.81,0.5473,21488.46,11403.94,20240322,Corporate
RISK00646,LOAN00646,CUST0782,D,0.95,0.3192,7115.12,2157.59,1.4313,5886.06,2042.1,20240804,Retail
RISK00647,LOAN00647,CUST0541,AAA,0.0774,0.6452,40786.22,2036.8,1.2497,27754.45,1872.67,20250129,Retail
RISK00648,LOAN00648,CUST0893,AAA,0.0495,0.4771,169409.7,4000.86,1.2135,195819.26,3944.31,20240426,Retail
RISK00649,LOAN00649,CUST0167,AAA,0.0555,0.3368,175600.15,3282.39,0.7777,198195.72,3205.7,20240830,Corporate
RISK00650,LOAN00650,CUST0743,BBB,0.3356,0.6746,105584.83,23903.96,0.7225,49505.39,22869.07,20240924,Corporate
RISK00651,LOAN00651,CUST0270,AAA,0.0171,0.4379,87163.53,652.69,1.3675,33610.14,606.82,20241009,Corporate
RISK00652,LOAN00652,CUST0112,AAA,0.038,0.3875,176910.78,2605.01,0.9462,112526.03,2849.59,20250118,Corporate
RISK00653,LOAN00653,CUST0845,AAA,0.0447,0.6566,9201.64,270.07,0.9103,2982.71,285.19,20240629,SME
RISK00654,LOAN00654,CUST0315,AAA,0.051,0.6892,81840.88,2876.64,0.239,67546.77,2694.62,20250208,Retail
RISK00655,LOAN00655,CUST0283,AAA,0.0905,0.5964,181981.99,9822.33,1.0964,133606.57,9564.56,20241002,Corporate
RISK00656,LOAN00656,CUST0526,B,0.5589,0.6309,10742.03,3787.75,0.3602,3536.6,3893.39,20240103,Sovereign
RISK00657,LOAN00657,CUST0199,BB,0.402,0.4752,18991.82,3628.01,1.399,14692.74,3478.87,20240325,SME
RISK00658,LOAN00658,CUST0888,AA,0.1985,0.3117,49883.57,3086.42,0.4243,20396.48,2998.85,20240627,Retail
RISK00659,LOAN00659,CUST0769,AAA,0.0994,0.4814,79487.51,3803.57,0.6048,36639.46,3961.7,20240106,Sovereign
RISK00660,LOAN00660,CUST0413,AAA,0.0541,0.3337,21116.91,381.23,1.3532,10586.68,414.99,20240131,SME
RISK00661,LOAN00661,CUST0185,AA,0.1681,0.434,64455.79,4702.4,1.3767,58341.96,5119.13,20250516,Corporate
RISK00662,LOAN00662,CUST0960,BBB,0.3508,0.6927,178022.36,43259.28,0.5992,115551.89,45013.59,20240724,SME
RISK00663,LOAN00663,CUST0582,AAA,0.0609,0.4155,111499.13,2821.37,0.751,68160.55,2948.26,20250507,SME
RISK00664,LOAN00664,CUST0017,AAA,0.0433,0.5877,101619.76,2585.96,1.0048,93295.0,2452.76,20241212,Retail
RISK00665,LOAN00665,CUST0257,AAA,0.0347,0.5504,15817.78,302.1,1.0085,5730.18,298.61,20240909,Sovereign
RISK00666,LOAN00666,CUST0986,AAA,0.0196,0.6076,33055.08,393.65,1.2821,24037.63,388.02,20250112,Corporate
RISK00667,LOAN00667,CUST0027,A,0.264,0.498,58157.56,7646.09,1.2148,48793.55,7319.04,20250405,SME
RISK00668,LOAN00668,CUST0394,AAA,0.032,0.5307,81621.26,1386.12,0.5437,28776.05,1469.34,20240803,Sovereign
RISK00669,LOAN00669,CUST0768,A,0.2459,0.4475,88461.03,9734.27,1.3878,121506.63,9786.7,20250223,Retail
RISK00670,LOAN00670,CUST0905,AAA,0.0673,0.3672,20298.95,501.64,1.2199,17532.22,509.21,20240106,Retail
RISK00671,LOAN00671,CUST0181,AAA,0.0353,0.6261,25353.22,560.34,0.9272,7970.82,604.31,20241027,Sovereign
RISK00672,LOAN00672,CUST0654,B,0.5222,0.6762,175489.2,61967.28,1.3778,139981.07,67591.84,20241030,SME
RISK00673,LOAN00673,CUST0924,BB,0.4056,0.6729,92328.19,25198.97,0.6966,80433.62,26048.09,20240306,Corporate
RISK00674,LOAN00674,CUST0968,AAA,0.0782,0.448,290218.27,10167.39,0.5713,332920.64,10598.75,20250126,Sovereign
RISK00675,LOAN00675,CUST0963,AAA,0.0386,0.64,345311.9,8530.59,0.6793,382134.86,8771.78,20240419,Retail
RISK00676,LOAN00676,CUST0625,AAA,0.012,0.5702,216934.22,1484.35,0.9957,192682.08,1497.67,20240706,SME
RISK00677,LOAN00677,CUST0591,AAA,0.0582,0.4077,310319.15,7363.3,0.6918,245695.42,8004.31,20240821,Sovereign
RISK00678,LOAN00678,CUST0859,BBB,0.3536,0.3866,70370.37,9619.75,1.1811,58463.87,9751.38,20240121,Retail
RISK00679,LOAN00679,CUST0635,BBB,0.3781,0.4269,91857.78,14826.85,0.9615,67386.46,13828.85,20240727,Retail
RISK00680,LOAN00680,CUST0636,BBB,0.342,0.6105,260376.38,54364.24,0.5425,383147.83,50047.19,20240630,SME
RISK00681,LOAN00681,CUST0393,AA,0.1798,0.4912,87581.28,7734.98,0.5142,48328.15,6977.47,20240924,SME
RISK00682,LOAN00682,CUST0133,B,0.5935,0.523,152212.33,47246.78,1.0218,30529.56,46848.93,20240512,Retail
RISK00683,LOAN00683,CUST0795,BBB,0.3783,0.4769,110651.84,19962.84,1.2985,144421.68,20901.28,20240628,SME
RISK00684,LOAN00684,CUST0172,AAA,0.0965,0.6186,139903.23,8351.51,0.9625,190274.24,8180.04,20250408,SME
RISK00685,LOAN00685,CUST0730,BBB,0.3761,0.4329,203221.29,33087.21,0.7341,73375.22,33818.35,20241225,Corporate
RISK00686,LOAN00686,CUST0872,AA,0.1899,0.6834,12115.57,1572.33,0.2568,11591.5,1662.73,20240809,Corporate
RISK00687,LOAN00687,CUST0899,AAA,0.0633,0.4703,390799.72,11634.1,0.9531,378599.29,12655.27,20250107,Sovereign
RISK00688,LOAN00688,CUST0699,AAA,0.0491,0.4998,46294.88,1136.08,0.8165,45430.67,1132.36,20250519,Sovereign
RISK00689,LOAN00689,CUST0960,AAA,0.0366,0.5061,250781.62,4645.29,0.3323,192847.71,5005.48,20250305,SME
RISK00690,LOAN00690,CUST0172,AAA,0.0816,0.5948,336316.25,16323.34,0.3467,404918.42,16951.86,20240612,SME
RISK00691,LOAN00691,CUST0065,AA,0.1726,0.5953,71046.15,7299.91,1.1479,89373.29,6727.68,20240302,Sovereign
RISK00692,LOAN00692,CUST0533,AAA,0.0472,0.5075,94752.67,2269.71,0.9852,21355.38,2166.25,20240310,Corporate
RISK00693,LOAN00693,CUST0467,D,0.95,0.4063,177978.77,68697.14,0.7369,236996.66,62310.73,20250130,Sovereign
RISK00694,LOAN00694,CUST0159,AA,0.1908,0.3409,21207.18,1379.39,0.3132,27571.95,1450.25,20240323,Retail
RISK00695,LOAN00695,CUST0890,AA,0.1865,0.6149,311953.96,35774.52,1.1112,173080.43,33008.02,20250601,Corporate
RISK00696,LOAN00696,CUST0949,AAA,0.0567,0.5459,417684.11,12928.38,0.543,332470.03,11817.72,20240418,Retail
RISK00697,LOAN00697,CUST0903,AAA,0.0144,0.6587,132299.27,1254.9,1.1474,96285.63,1130.12,20240107,SME
RISK00698,LOAN00698,CUST0373,AAA,0.0489,0.5578,218902.33,5970.87,0.9596,107476.45,5426.16,20240427,Corporate
RISK00699,LOAN00699,CUST0904,AAA,0.0811,0.61,368487.28,18229.43,1.2904,230634.06,17692.01,20250110,Retail
RISK00700,LOAN00700,CUST0743,AAA,0.01,0.3222,47914.43,154.38,0.4888,58562.96,161.86,20240615,Corporate
RISK00701,LOAN00701,CUST0923,B,0.5327,0.5318,326223.66,92415.85,0.7479,484701.99,89330.6,20240127,Retail
RISK00702,LOAN00702,CUST0937,AAA,0.0726,0.3217,57196.99,1335.86,0.822,73276.09,1395.23,20241229,Sovereign
RISK00703,LOAN00703,CUST0039,AAA,0.0569,0.4397,65747.58,1644.93,0.9397,77142.57,1677.43,20240207,SME
